C_No.,Review Text,Star Rating,Polarity Scores
244,good,5,Satisfied
245,very fast delivery,5,Neutral
246,good,5,Satisfied
247,good,5,Satisfied
248,"I ordered a few days ago and was sent a defective product and I mail it and received a refund today, thank you.",5,Neutral
249,price should be improved compare to others,3,Satisfied
250,bahut ghatiya app hai,1,Neutral
251,thank you so much sir 🙏,5,Satisfied
252,"you must provide more offers discount is needed, please 🥺",3,Satisfied
253,average,2,Neutral
254,super sawing and best fast delivery,5,Extremely Satisfied
255,Good,5,Satisfied
256,good,5,Satisfied
257,nice 🤟 🫰 🍻,5,Satisfied
258,It is a nice app and have many offers but it lacks in availability. Pl add more locations available as some locations are not available. Thank You.,3,Neutral
259,I got a crazy discounted price on earphones.,5,Dissatisfied
260,nice offer,5,Satisfied
261,showing late,5,Neutral
262,wrong information abou handling free. i payed 10 rs,1,Neutral
263,nice 👍,5,Satisfied
264,increase the items of availability that's a huge problem here otherwise app is so good 👍🏻,4,Satisfied
265,In my address this app is unserviceable.,1,Neutral
266,i am happy 😊,5,Extremely Satisfied
267,excellent 👌,5,Extremely Satisfied
268,ok,5,Satisfied
269,nice,5,Satisfied
270,"Hello Swiggy Team, I am unable to log in to my Swiggy/Instamart account because OTP is not being delivered to my mobile number. I have checked my network, restarted my phone, and I am receiving OTPs from other apps, so the issue seems to be from your side. Please refresh or unblock OTP delivery for my number so I can log in again and place my order. Thank you!",1,Satisfied
271,Instant Mart to purchase,5,Neutral
272,excellent,5,Satisfied
273,good,5,Satisfied
274,"it's good,,till now didn't face any problem",5,Satisfied
275,fine,5,Neutral
276,good,4,Satisfied
277,super,5,Satisfied
278,nic,5,Neutral
279,location no match,1,Dissatisfied
280,The worst,1,Dissatisfied
281,super,5,Satisfied
282,wrost experience beacuse this application name is instamart 10 minutes but it takes 25 minutes,1,Neutral
283,the most useless app. it took more than hour for assign a partner and hardly 5 minutes away from my home. then also no partner was assigned and waiting for 2 hours for an order. finally I have to cancel m order and arrange from other app. 😡😡😡😡,1,Dissatisfied
284,"please note every one :swiggy's Instamart has electronic items no return no replacement no refund, but product description is showing returns refund in 3 days, and also I contacted customer service they told me no refund no return,dont buy, so my personal experience Bigbasket Amazon flipkart...... this types better very better",1,Extremely Satisfied
285,"Always take many extra charges even on big bill orders All products costlier than any other good platforms Never give any coupan like jio&Mart , Big Basket or blinkit",2,Satisfied
286,👍 good,5,Satisfied
287,why swigy coming in Google pay instead of insta mart it becomes trama for coustemers,4,Neutral
288,delivery on time so good app,5,Satisfied
289,this ap not given my refund and my sister order by mistake and now they are telling me we will not give you money don't download this app I am angry with this policy i am uninstalling this app,1,Dissatisfied
290,1 st delivery,5,Neutral
291,nice,5,Satisfied
292,good service,5,Satisfied
293,delivery boy not coming my area 😔,1,Neutral
294,जल्दी भेंजो डिलेव्हरी,5,Neutral
295,సూపర్,5,Neutral
296,Very Bad Services.....not able to fulfill their orders and always block ur account bcoz they are either not able to fulfill their order,1,Dissatisfied
297,happy 😃,5,Satisfied
298,my first order Instamart but Instamart good survive,4,Satisfied
299,👍,5,Neutral
300,nice deal,5,Satisfied
301,👍 nice,5,Satisfied
302,must download this app its so helpful 😀,5,Extremely Satisfied
303,good,5,Satisfied
304,good,5,Satisfied
305,Excellent service 👍,5,Satisfied
306,supper,5,Neutral
307,best app,5,Satisfied
308,iski koi bhi service lena bekar hai...,1,Neutral
309,very use full app thanku insta mart and i give a 5 stars,5,Neutral
310,fast delivery,5,Neutral
311,"Good service,,,we receive materials on time",5,Satisfied
312,good,5,Satisfied
313,good,5,Satisfied
314,nice app,5,Satisfied
315,👍,5,Neutral
316,good,5,Satisfied
317,"Sends expired products when ordered, after that no proper chat team available, will ask to mail. which i did with all pictures and dates showing its expiry. And on mail will tell you can't schedule a repeat delivery or refunds and will tell you that they will inform their store manager so it wont happen again... but what about the money I spent on your platform and received expired products ??? BLINKIT is much better and responsible in this matter. Have proofs for everything",1,Extremely Satisfied
318,best,4,Satisfied
319,nice,5,Satisfied
320,superr,5,Neutral
321,good item,5,Satisfied
322,delivary not my area ....saraspur ahemdabad...plzz request delivary this area sir ....,5,Neutral
323,good for urgently required,3,Satisfied
324,👍🏻 Good,5,Satisfied
325,no offer,1,Dissatisfied
326,good,5,Satisfied
327,good,5,Satisfied
328,very good app go... and download the app,5,Satisfied
329,very good,5,Satisfied
330,super,5,Satisfied
331,Every time the store is unserviceable,1,Neutral
332,super ⭐,4,Satisfied
333,Quick delivery,5,Neutral
334,Thank you,5,Satisfied
335,fake hai sab kam rate bola kar not unavailable bolta hai,1,Dissatisfied
336,good 👍😊,5,Extremely Satisfied
337,good,5,Satisfied
338,super,5,Satisfied
339,I love this aap it is just like a compititer of blinkit I found ally groceries and Main thing is that with no extra charges on the product thankyou so much instagram team,5,Satisfied
340,bad app,1,Dissatisfied
341,Good day,5,Satisfied
342,good,5,Satisfied
343,ok,5,Satisfied
344,I hate this app for charging 100% cancellation fee 😡🤬,1,Dissatisfied
345,best app,5,Satisfied
346,😍,4,Satisfied
347,good 👍👍👍👍👍👍,4,Satisfied
348,very nice app,5,Satisfied
349,super fast delivery and discounts,5,Satisfied
350,good,5,Satisfied
351,good,5,Satisfied
352,good,5,Satisfied
353,good products,4,Satisfied
354,good service good product 👍,5,Satisfied
355,"Good, intime delivered",5,Satisfied
356,good,4,Satisfied
357,very nice recommended for goods price,5,Satisfied
358,good 👍🏻,5,Satisfied
359,very nice,5,Satisfied
360,good,1,Satisfied
361,very good app deliver in only12 min very useful app refund and all system is very easy to use,5,Extremely Satisfied
362,good,4,Satisfied
363,good,5,Satisfied
364,amazing,3,Satisfied
365,thank you so much for your best discount i really love about it ❤️,5,Extremely Satisfied
366,smart service,5,Satisfied
367,good,5,Satisfied
368,Good Service 👍,5,Satisfied
369,excellent 👍,5,Satisfied
370,nice,5,Satisfied
371,nice 👍 one,5,Satisfied
372,good,5,Satisfied
373,very helpful,5,Satisfied
374,pathetic service and hi is not providing my refund amount,1,Dissatisfied
375,very low price,5,Dissatisfied
376,smart and hard ....✨,5,Satisfied
377,Instamart is super .I m from chennai Last week Ditwah Cyclone this is only store which delivered my Grocery .Other store they just said unserviceable But instamart did .i really appriciate Instamart for this and Big thanks for it.,5,Satisfied
378,very good,5,Satisfied
379,good,5,Satisfied
380,good rider,5,Satisfied
381,"one of the worst service. they cancel order themselves without proper reason and wont refund money also with immediate effect you need wiat for 3 days to receive money for no reason, no items also no money also , stay away from these app, blink it and other delivery app does good job these swigg operation team is worst",1,Extremely Dissatisfied
382,nice,5,Satisfied
383,Thanks for on time delivery in so cold day🙏,5,Satisfied
384,🔥💯,5,Dissatisfied
385,🥰🥰🥰🥰🥰🥰,5,Extremely Satisfied
386,bohut acha hai,5,Neutral
387,first time use this application,4,Neutral
388,good,5,Satisfied
389,good,5,Satisfied
390,best dilivery app,5,Satisfied
391,good,5,Satisfied
392,almost from 2 months it is showing me that over survice is temporarily unavailable. i uninstalled then reinstalled multiple times but nothing is working. i am frustrated and having worst experience please fix this,1,Extremely Dissatisfied
393,fast delivery,5,Neutral
394,"very bad got delivered wrong package 3 times now , and the delivery got delayed alot",1,Extremely Dissatisfied
395,nice,5,Satisfied
396,nice,5,Satisfied
397,good 👍,5,Satisfied
398,helpfull app,5,Neutral
399,Mai isme order Kiya tah 297 ka saman delivery late hora tah isliye cancel Kiya tah .lekin mereo 1 rupiya bhi refund nhi mila.. aur mera pura family isme hee order karte h .lekin abhi mai sabko uninstall karwa diya ab dusra ap se karege,1,Neutral
400,op 🤗🤗🤗🤗🤗🤗🤗🤗🤗,3,Extremely Satisfied
401,good,5,Satisfied
402,good service,5,Satisfied
403,good,5,Satisfied
404,super 👍,5,Satisfied
405,good,5,Satisfied
406,good 😊,4,Extremely Satisfied
407,nothing waste of time while ordering in this app . No offers getting inbthis app .So every don't use the waste of time .red flower app,1,Satisfied
408,nice good,5,Satisfied
409,good service,5,Satisfied
410,very usefully urgent madhe kaam yeto ✨,5,Extremely Satisfied
411,please don't use this app.i got less items and when I was trying to return or exchange there was no option for it .when I talked to help desk they took my order back and again send same order with missing things .and I was very frustrated from this app when help desk team send that order3times without any correction.only time waste app,1,Dissatisfied
412,Amazing offer,4,Satisfied
413,nice good,5,Satisfied
414,Best with best,5,Extremely Satisfied
415,great 👍🏻,5,Satisfied
416,good 👍,4,Satisfied
417,osm,5,Neutral
418,excellent,5,Satisfied
419,good,5,Satisfied
420,"They won't have any mobile device and like other online app like Flipkart Amazon mesho even they are all so simply cost GST handling fees so it,s not good not bad normal if you have any emergency you can use they even some time they do littl Late",4,Neutral
421,okay,5,Neutral
422,good,1,Satisfied
423,payment problem,4,Dissatisfied
424,a really good app for daily needs,5,Satisfied
425,good,5,Satisfied
426,good,5,Satisfied
427,good service,5,Satisfied
428,it's good but make me lazy 🤣🤣,3,Extremely Satisfied
429,thank,2,Satisfied
430,fake coupon code,1,Dissatisfied
431,ok,5,Satisfied
432,nice,4,Satisfied
433,good but my payment done but order not placed,5,Neutral
434,osm,3,Neutral
435,good service,5,Satisfied
436,good,5,Satisfied
437,this is best app forever,5,Satisfied
438,I order vegetables and those are well packed and delivered within time . Also prices are less than the normal vegetable vendor,5,Satisfied
439,gud,4,Neutral
440,thank you for your offer and service,4,Satisfied
441,good,4,Satisfied
442,good,5,Satisfied
443,good service happy customer,2,Extremely Satisfied
444,amazing with lots of free offer,5,Extremely Satisfied
445,Thanks Instamat,5,Satisfied
446,good,5,Satisfied
447,good service,2,Satisfied
448,good,5,Satisfied
449,good,4,Satisfied
450,👍👍,4,Neutral
451,nice and very good,5,Satisfied
452,nice,5,Satisfied
453,nice,5,Satisfied
454,highly recommended,5,Satisfied
455,ok,5,Satisfied
456,good,5,Satisfied
457,payment option issues,3,Neutral
458,Delivery boy bad behaviour,1,Dissatisfied
459,"fraud company,very bad customer support.very hard to contact them and most of the time not possible. Avoid downloading it . they also show false advertising saying flat ₹100 cashback on first order. but it was just a false predatory advitesement. so basically use other apps .",1,Dissatisfied
460,good,5,Satisfied
461,good,4,Satisfied
462,Fast service with huge discount,5,Satisfied
463,okay,5,Neutral
464,Best price good,5,Extremely Satisfied
465,cost is highly,2,Neutral
466,Best app,5,Satisfied
467,nice,5,Satisfied
468,good,3,Satisfied
469,best experience,5,Satisfied
470,best app I prefer Instamart for he best prices and offers ever rather on blinkit and zepto thank you soo much insta mart,5,Extremely Satisfied
471,good,5,Satisfied
472,superb but sometimes expensive,4,Satisfied
473,good 🥰❤️❤️,5,Extremely Satisfied
474,Sure... Swiggy pays offers...,5,Satisfied
475,excellent service,5,Satisfied
476,nice app ❤️‍🩹,5,Satisfied
477,good,4,Satisfied
478,good,5,Satisfied
479,good,5,Satisfied
480,good,5,Satisfied
481,Nice thanks for the coupon,4,Satisfied
482,good,5,Satisfied
483,it's very good 👍,5,Satisfied
484,gud,5,Neutral
485,supr aap,5,Neutral
486,super but price small High,5,Satisfied
487,very gud service,5,Neutral
488,worst experience with coustomer care bcoz of those so-called policies all items are defected tbh they are scammers,1,Dissatisfied
489,I don't find it worthy,1,Dissatisfied
490,they give nice offers,4,Satisfied
491,Great app,4,Satisfied
492,good,5,Satisfied
493,good on time delivery worth for money,5,Satisfied
494,first experience..I'm very happy 😊,5,Extremely Satisfied
495,good app,5,Satisfied
496,wow nice 🙂,5,Extremely Satisfied
497,fast delivery,5,Neutral
498,super and exclusive to order,5,Satisfied
499,"very nice, instant delivery 😊🍃",5,Extremely Satisfied
500,naice,5,Neutral
501,Not satisfactory ordered and paid for 7 items but delivered 6 items today morning contacted but noresponse,2,Neutral
502,good,5,Satisfied
503,nice app whatever you buy just wait 10 minute and you give so nice product,5,Extremely Satisfied
504,very good 😊 and also offer,5,Extremely Satisfied
505,Good,5,Satisfied
506,the support process is not up to the mark and for items which are of brand and have missing or invalid info on their site they are not even taking responsibility of the product.. immediately all they want to do is become chor bazaar of apps where product can be sold but there is no guarantee of the seller or the platform.. they are asking to connect to brand for such information.. if I wanted to do that I would have purchased directly from the brand website.. instant delivery isnt no responsible,1,Neutral
507,good,5,Satisfied
508,good se good online app,5,Satisfied
509,good and speed service,5,Satisfied
510,fast service,4,Neutral
511,very good service,5,Satisfied
512,well done service,5,Satisfied
513,ok,5,Satisfied
514,good,3,Satisfied
515,Happy to see that you're serving in my city team swiggy #instamart #happyshopping,5,Satisfied
516,Go with blinkit zepto they are more better then Swiggy Instamart. swiggyinstamart has provides third class food product and times and worst customer support,1,Neutral
517,received damaged product but no return no exchange the product third class service uninstall the app,1,Dissatisfied
518,very good service,5,Satisfied
519,very bad experience if you paid money then you cancel you don't get refund back so please don't install this app😡😡,1,Dissatisfied
520,🙏,4,Neutral
521,good,5,Satisfied
522,nice,2,Satisfied
523,itni gatiya delivery maine aajtk kisi app ki nhi Dekhi without information delivery cancel ho jati hai aur ye kaun log jo 4.7 rating diye hai is app pr dikhaya gya sb bakwas hai please be aware,1,Satisfied
524,fast and easy,5,Satisfied
525,Good 👍,4,Satisfied
526,nice,5,Satisfied
527,good,5,Satisfied
528,good,5,Satisfied
529,Good delivery and packing?,4,Satisfied
530,i hope my product be good,2,Satisfied
531,trying from 1 year still service is not available at my location make this better and look into the matter as soon as possible,1,Satisfied
532,very good,5,Satisfied
533,nice,5,Satisfied
534,very very useful app 👍👍👍👍,5,Satisfied
535,good service,5,Satisfied
536,nice deals,5,Satisfied
537,when I want to login in another device it's not working this app really sucks man,1,Dissatisfied
538,good,3,Satisfied
539,nicee service,5,Neutral
540,very useful app,4,Satisfied
541,very good app,4,Satisfied
542,ok good 👍,5,Satisfied
543,very nic,5,Neutral
544,good,4,Satisfied
545,ok,5,Satisfied
546,Good,5,Satisfied
547,good 😊,5,Extremely Satisfied
548,good,5,Satisfied
549,"Excellent service every time. Fresh fruits, clean packaging, and fast delivery...👍🏻",4,Extremely Satisfied
550,nice,5,Satisfied
551,very helpful thank Instamart,5,Satisfied
552,good,5,Satisfied
553,wonderfullllll👍🎉💥🙏🥳😍,5,Satisfied
554,hello everyone one first please don't install this app because it's the world 's No 1 fraud App. if you will order the product you will never get and your money will also not refund. it's totally money wasted app there are lot of videos and evidence of insta Mart related to the scam and fraud happened by Inst Mart . I am also one of the victims of this scam I ordered the product at night at approx 10 Pm and you will wonder to know that I didn't receive my product and the delivery boy cancel my o,1,Extremely Dissatisfied
555,good sarvice good price,5,Satisfied
556,good,5,Satisfied
557,good 👍🏽,5,Satisfied
558,mast,1,Neutral
559,server issue are there and else are good,4,Satisfied
560,nice,5,Satisfied
561,very bad aap my location is carect adress and again location change change problem aap,1,Extremely Dissatisfied
562,good,5,Satisfied
563,This always give discount and free cash best app,5,Extremely Satisfied
564,Very buggy,1,Neutral
565,sooopper,5,Neutral
566,as your policy is to give flat 100 off to 1st user..but it won't works.. I applied all the t&c... than too it won't worked,1,Neutral
567,it's not available in every area very disappointing 😡,1,Dissatisfied
568,good,1,Satisfied
569,it's is very good appp,5,Satisfied
570,very reasonable rate worthy,5,Satisfied
571,super,5,Satisfied
572,Best app,5,Satisfied
573,instamart very good online service,5,Satisfied
574,too good. unbelievable,5,Satisfied
575,nice and good,5,Satisfied
576,good service,4,Satisfied
577,great 👍,5,Satisfied
578,best h,5,Satisfied
579,wow,5,Satisfied
580,💗💗💗💗💗,5,Extremely Satisfied
581,Good,5,Satisfied
582,good,1,Satisfied
583,good,5,Satisfied
584,very good,5,Satisfied
585,Good,5,Satisfied
586,good application,5,Satisfied
587,good,5,Satisfied
588,good,5,Satisfied
589,fraud scam,1,Extremely Dissatisfied
590,good app,5,Satisfied
591,quick & safe Reasonable and more benefits,5,Satisfied
592,super,5,Satisfied
593,good one,4,Satisfied
594,excellent service fastest delivery,5,Satisfied
595,good service,5,Satisfied
596,nice,5,Satisfied
597,⚡🤍,5,Neutral
598,good,5,Satisfied
599,👍🏻,5,Neutral
600,very good,5,Satisfied
601,"If you order at night, only the packing will be done. The order won’t get delivered. For cancellation, you will get a call only from the customer-care side… It’s the worst experience for night users.",1,Dissatisfied
602,Good 👍,5,Satisfied
603,too much charges agar 30 rupaye ki lassi peeni Hai to 30 rupya extra per karna padega,1,Dissatisfied
604,perfect shopping,5,Satisfied
605,good,5,Satisfied
606,good,5,Satisfied
607,good,5,Satisfied
608,best app,5,Satisfied
609,not delivered total items,1,Neutral
610,superb,5,Satisfied
611,very nice,5,Satisfied
612,Very helpful... Thanku 🤗,5,Satisfied
613,instamart Main order karne Gaya tab late night fee 10rs aur handing fee 10rs Itna Sab lagakar be aur small card fee 15rs 😳 mera order price tha 100rs or sab fee milakar Ho Gaya total 140r 🤯,1,Neutral
614,good Instamart,5,Satisfied
615,instamart was sending expired product please don't buy in instamart,1,Satisfied
616,not available in my location but why ?? it's in highway area,1,Neutral
617,Good,5,Satisfied
618,this app is giving best discount 🙂,5,Extremely Satisfied
619,nice service to cash on delivery,5,Satisfied
620,good,5,Satisfied
621,Good,5,Satisfied
622,good,5,Satisfied
623,I am using this application first time....I am very happy with this😊😊 in,4,Extremely Satisfied
624,awesome,5,Satisfied
625,happy super lovely cute,5,Extremely Satisfied
626,nice,5,Satisfied
627,fast delvery,5,Neutral
628,the best,4,Satisfied
629,good,5,Satisfied
630,worst service never i experienced from them. Three times ordered a product but they are not willing to assign a delivery partner. Completely dissatisfied by there service,1,Dissatisfied
631,super,5,Satisfied
632,good,4,Satisfied
633,thanks a lot,5,Satisfied
634,good and fast,5,Satisfied
635,awesome 😎,5,Extremely Satisfied
636,ok,5,Satisfied
637,good,5,Satisfied
638,ok,5,Satisfied
639,good,4,Satisfied
640,ON TIME DELIVERY 🚚🚚,5,Neutral
